match_id;key;slot;time;unit;GERAL
0;force it;6;-8;6k Slayer;0
0;space created;1;5;Monkey;0
0;hah;1;6;Monkey;0
0;ez 500;6;9;6k Slayer;1
0;mvp ulti;4;934;Kira;0
0;bye;6;1486;6k Slayer;0
0;hah;1;1488;Monkey;0
0;fate;6;1496;6k Slayer;0
0;is cruel;6;1502;6k Slayer;0
0;fuck my ass;0;1524;Double T;1
0;wtf;1;1854;Monkey;1
0;TA?;1;1855;Monkey;0
0;u srsly?;1;1857;Monkey;0
0;sad spec;6;1882;6k Slayer;0
0;noes cape for him;6;1885;6k Slayer;0
0;wat;7;1888;???????;0
0;that one i cant even run;7;1891;???????;0
0;why alyway hit me;1;1905;Monkey;0
0;what did i do;1;1909;Monkey;0
0;everyone kiting me;7;1911;???????;0
0;u stand in front of me;7;1914;???????;0
0;cause u LIKE DENDI;9;1916;u didnt see who highest here?;0
0;fuck yeah;9;1918;u didnt see who highest here?;1
0;.l.;1;1919;Monkey;1
0;why so rude;7;1927;???????;0
0;tot this casual banter.;7;1931;???????;0
0;weahaha;6;2009;6k Slayer;0
0;wahaha;6;2019;6k Slayer;0
0;hah;1;2027;Monkey;0
0;space boys;6;2030;6k Slayer;0
0;haha;6;2103;6k Slayer;0
0;hah;1;2112;Monkey;0
0;hah;1;2133;Monkey;0
0;we are losing;6;2141;6k Slayer;0
0;hahah;1;2142;Monkey;0
0;alche;1;2143;Monkey;0
0;hahahhaHAHA;1;2145;Monkey;0
0;but we dive much any other;6;2146;6k Slayer;0
0;u guys are lucky;6;2307;6k Slayer;0
0;u dont have a 6k mmr player with u;6;2312;6k Slayer;0
0;lol;2;2319;Trash!!!;0
0;wlwlwlwllww;9;2323;u didnt see who highest here?;0
0;torso highest here;9;2335;u didnt see who highest here?;0
0;really ?;2;2360;Trash!!!;0
0;wahaha;6;2377;6k Slayer;0
0;gG;1;2382;Monkey;0
0;6k slayer;0;2387;Double T;0
0;haha;0;2388;Double T;0
0;no 6k;6;2391;6k Slayer;0
0;no one to slay;6;2394;6k Slayer;0
1;lol;3;477;stormX---;0
1;gege;3;2076;stormX---;0
1;our eshaker afk;1;2127;Apin's;0
1;why;9;2127;D o r a;0
1;he afk;9;2127;D o r a;0
1;it will be abandoned;1;2127;Apin's;0
1;he lost hope;4;2127;Buk lau;0
1;HE WANT SLEEP;2;2127;Double T;0
1;he say sleep;1;2127;Apin's;0
1;HAHA;2;2196;Double T;0
1;ULTI ZEUS;2;2199;Double T;0
1;end;1;2433;Apin's;0
1;gg;5;2588;DA BOSS;0
1;commend the solo supp;7;2594;Titus;0
2;w8 1 min plz;7;-27;Anonymous;0
2;no;0;-25;WtW|Tweedle Dee & Tweedle Dum;0
2;1 min;5;-25;Star;0
2;not my problem...i guess;0;-19;WtW|Tweedle Dee & Tweedle Dum;0
2;ok dude;8;-11;BlackJack;0
2;so kind of you;9;-10;KaLixz;0
2;not my problem;5;302;Star;0
2;we will wait;0;430;WtW|Tweedle Dee & Tweedle Dum;0
2;not my prob;2;430;?????;0
2;for sure this time;0;430;WtW|Tweedle Dee & Tweedle Dum;0
2;we willw ait i said;0;436;WtW|Tweedle Dee & Tweedle Dum;0
2;i love this life;5;504;Star;0
2;love u life;5;554;Star;0
2;wow u can play early game heros;3;569;Grötenelch;0
2;sry;5;596;Star;0
2;lol;5;604;Star;0
2;DIE;0;610;WtW|Tweedle Dee & Tweedle Dum;0
2;u2;5;613;Star;0
2;true xD;0;617;WtW|Tweedle Dee & Tweedle Dum;0
2;but...;0;620;WtW|Tweedle Dee & Tweedle Dum;0
2;but;5;623;Star;0
2;1 for 1;5;625;Star;0
2;do nothing;5;628;Star;0
2;DIE!!!!!! ?;0;631;WtW|Tweedle Dee & Tweedle Dum;1
2;ahahahh;5;635;Star;0
2;k next time;5;639;Star;0
2;GOOD JOB;0;865;WtW|Tweedle Dee & Tweedle Dum;0
2;sry wrong chat xD;0;876;WtW|Tweedle Dee & Tweedle Dum;0
2;the bait xD;0;1115;WtW|Tweedle Dee & Tweedle Dum;0
2;NO;0;1130;WtW|Tweedle Dee & Tweedle Dum;0
2;NÖ;0;1130;WtW|Tweedle Dee & Tweedle Dum;0
2;NO WAY!!!!;0;1130;WtW|Tweedle Dee & Tweedle Dum;0
2;focus on me again pls :3;5;2007;Star;0
2;i dont hear somthing from clock so long;9;2366;KaLixz;0
2;XD;0;2371;WtW|Tweedle Dee & Tweedle Dum;0
2;fail snatch -.-;0;2379;WtW|Tweedle Dee & Tweedle Dum;0
2;gg wp;3;2479;Grötenelch;0
2;WP;8;2720;BlackJack;0
2;ez;5;2720;Star;1
2;gg;7;2734;Anonymous;0
3;how long;6;-77;Fuck_Off;0
3;we dno;3;-77;Arhey;0
3;dude;6;-68;Fuck_Off;0
3;we wait him 10 mints;6;-68;Fuck_Off;0
3;Wtf he is doing;6;-68;Fuck_Off;1
3;he's russian, he won't come back;5;-68;Porucznik Ku®wa;1
3;just report him;9;-55;AresStar®;0
3;hi;4;-17;ahohuhahohu;0
3;hi;6;-14;Fuck_Off;0
3;your cute;6;-12;Fuck_Off;0
3;ty;4;-9;ahohuhahohu;0
3;u2;4;-7;ahohuhahohu;0
3;bait;4;9;ahohuhahohu;0
3;no luck;4;538;ahohuhahohu;0
3;just skill;4;540;ahohuhahohu;0
3;i dont need luck;6;547;Fuck_Off;0
3;lol;9;566;AresStar®;0
3;gg wp;1;2377;¡No pasarán!;0
3;u rich 1k;9;2491;AresStar®;0
3;Gg wp;1;3080;¡No pasarán!;0
3;gg wp;7;3081;Matt;0
3;vp;3;3081;Arhey;0
3;66=65;6;3095;Fuck_Off;0
4;gg;6;1585;iceiceBABE;0
4;gamegood;4;1608;SIMBA;0
4;gg;3;1860;Desolation;0
4;gg wr;7;1876;FREAKGANG.haa;0
4;gfg;4;1879;SIMBA;0
4;sad wr sad life;6;1889;iceiceBABE;0
4;ez mid for qop;6;1892;iceiceBABE;1
5;HAHA;4;1508;stadin.xxx;0
